p wcnf 416 3886 100000000000000000
100000000000000000 -113 -81 -121 -89 0
100000000000000000 -113 -81 -122 -90 0
100000000000000000 -113 -81 -123 -91 0
100000000000000000 -113 -81 -124 -92 0
100000000000000000 -113 -81 -125 -93 0
100000000000000000 -113 -81 -126 -94 0
100000000000000000 -113 -81 -127 -95 0
100000000000000000 -113 -81 -128 -96 0
100000000000000000 -129 -4 -130 -2 0
100000000000000000 -129 -4 -131 -6 0
100000000000000000 -129 -4 -132 -8 0
100000000000000000 -129 -4 -133 -10 0
100000000000000000 -129 -4 -134 -12 0
100000000000000000 -129 -4 -135 -14 0
100000000000000000 -129 -4 -136 -16 0
100000000000000000 -129 -4 -137 -18 0
100000000000000000 -129 -4 -138 -20 0
100000000000000000 -129 -4 -139 -22 0
100000000000000000 -129 -4 -140 -24 0
100000000000000000 -129 -4 -141 -26 0
100000000000000000 -129 -4 -142 -28 0
100000000000000000 -129 -4 -143 -30 0
100000000000000000 -129 -4 -144 -32 0
100000000000000000 -129 -34 -130 -33 0
100000000000000000 -129 -34 -131 -35 0
100000000000000000 -129 -34 -132 -36 0
100000000000000000 -129 -34 -133 -37 0
100000000000000000 -129 -34 -134 -38 0
100000000000000000 -129 -34 -135 -39 0
100000000000000000 -129 -34 -136 -40 0
100000000000000000 -129 -34 -137 -41 0
100000000000000000 -129 -34 -138 -42 0
100000000000000000 -129 -34 -139 -43 0
100000000000000000 -129 -34 -140 -44 0
100000000000000000 -129 -34 -141 -45 0
100000000000000000 -129 -34 -142 -46 0
100000000000000000 -129 -34 -143 -47 0
100000000000000000 -129 -34 -144 -48 0
100000000000000000 -129 -50 -130 -49 0
100000000000000000 -129 -50 -131 -51 0
100000000000000000 -129 -50 -132 -52 0
100000000000000000 -129 -50 -133 -53 0
100000000000000000 -129 -50 -134 -54 0
100000000000000000 -129 -50 -135 -55 0
100000000000000000 -129 -50 -136 -56 0
100000000000000000 -129 -50 -137 -57 0
100000000000000000 -129 -50 -138 -58 0
100000000000000000 -129 -50 -139 -59 0
100000000000000000 -129 -50 -140 -60 0
100000000000000000 -129 -50 -141 -61 0
100000000000000000 -129 -50 -142 -62 0
100000000000000000 -129 -50 -143 -63 0
100000000000000000 -129 -50 -144 -64 0
100000000000000000 -129 -66 -130 -65 0
100000000000000000 -129 -66 -131 -67 0
100000000000000000 -129 -66 -132 -68 0
100000000000000000 -129 -66 -133 -69 0
100000000000000000 -129 -66 -134 -70 0
100000000000000000 -129 -66 -135 -71 0
100000000000000000 -129 -66 -136 -72 0
100000000000000000 -129 -66 -137 -73 0
100000000000000000 -129 -66 -138 -74 0
100000000000000000 -129 -66 -139 -75 0
100000000000000000 -129 -66 -140 -76 0
100000000000000000 -129 -66 -141 -77 0
100000000000000000 -129 -66 -142 -78 0
100000000000000000 -129 -66 -143 -79 0
100000000000000000 -129 -66 -144 -80 0
100000000000000000 -129 -82 -130 -81 0
100000000000000000 -129 -82 -131 -83 0
100000000000000000 -129 -82 -132 -84 0
100000000000000000 -129 -82 -133 -85 0
100000000000000000 -129 -82 -134 -86 0
100000000000000000 -129 -82 -135 -87 0
100000000000000000 -129 -82 -136 -88 0
100000000000000000 -129 -82 -137 -89 0
100000000000000000 -129 -82 -138 -90 0
100000000000000000 -129 -82 -139 -91 0
100000000000000000 -129 -82 -140 -92 0
100000000000000000 -129 -82 -141 -93 0
100000000000000000 -129 -82 -142 -94 0
100000000000000000 -129 -82 -143 -95 0
100000000000000000 -129 -82 -144 -96 0
100000000000000000 -145 -4 -146 -2 0
100000000000000000 -145 -4 -147 -6 0
100000000000000000 -145 -4 -148 -8 0
100000000000000000 -145 -4 -149 -10 0
100000000000000000 -145 -4 -150 -12 0
100000000000000000 -145 -4 -151 -14 0
100000000000000000 -145 -4 -152 -16 0
100000000000000000 -145 -4 -153 -18 0
100000000000000000 -145 -4 -154 -20 0
100000000000000000 -145 -4 -155 -22 0
100000000000000000 -145 -4 -156 -24 0
100000000000000000 -145 -4 -157 -26 0
100000000000000000 -145 -4 -158 -28 0
100000000000000000 -145 -4 -159 -30 0
100000000000000000 -145 -4 -160 -32 0
100000000000000000 -145 -34 -146 -33 0
100000000000000000 -145 -34 -147 -35 0
100000000000000000 -145 -34 -148 -36 0
100000000000000000 -145 -34 -149 -37 0
100000000000000000 -145 -34 -150 -38 0
100000000000000000 -145 -34 -151 -39 0
100000000000000000 -145 -34 -152 -40 0
100000000000000000 -145 -34 -153 -41 0
100000000000000000 -145 -34 -154 -42 0
100000000000000000 -145 -34 -155 -43 0
100000000000000000 -145 -34 -156 -44 0
100000000000000000 -145 -34 -157 -45 0
100000000000000000 -145 -34 -158 -46 0
100000000000000000 -145 -34 -159 -47 0
100000000000000000 -145 -34 -160 -48 0
100000000000000000 -145 -50 -146 -49 0
100000000000000000 -145 -50 -147 -51 0
100000000000000000 -145 -50 -148 -52 0
100000000000000000 -145 -50 -149 -53 0
100000000000000000 -145 -50 -150 -54 0
100000000000000000 -145 -50 -151 -55 0
100000000000000000 -145 -50 -152 -56 0
100000000000000000 -145 -50 -153 -57 0
100000000000000000 -145 -50 -154 -58 0
100000000000000000 -145 -50 -155 -59 0
100000000000000000 -145 -50 -156 -60 0
100000000000000000 -145 -50 -157 -61 0
100000000000000000 -145 -50 -158 -62 0
100000000000000000 -145 -50 -159 -63 0
100000000000000000 -145 -50 -160 -64 0
100000000000000000 -145 -66 -146 -65 0
100000000000000000 -145 -66 -147 -67 0
100000000000000000 -145 -66 -148 -68 0
100000000000000000 -145 -66 -149 -69 0
100000000000000000 -145 -66 -150 -70 0
100000000000000000 -145 -66 -151 -71 0
100000000000000000 -145 -66 -152 -72 0
100000000000000000 -145 -66 -153 -73 0
100000000000000000 -145 -66 -154 -74 0
100000000000000000 -145 -66 -155 -75 0
100000000000000000 -145 -66 -156 -76 0
100000000000000000 -145 -66 -157 -77 0
100000000000000000 -145 -66 -158 -78 0
100000000000000000 -145 -66 -159 -79 0
100000000000000000 -145 -66 -160 -80 0
100000000000000000 -145 -82 -146 -81 0
100000000000000000 -145 -82 -147 -83 0
100000000000000000 -145 -82 -148 -84 0
100000000000000000 -145 -82 -149 -85 0
100000000000000000 -145 -82 -150 -86 0
100000000000000000 -145 -82 -151 -87 0
100000000000000000 -145 -82 -152 -88 0
100000000000000000 -145 -82 -153 -89 0
100000000000000000 -145 -82 -154 -90 0
100000000000000000 -145 -82 -155 -91 0
100000000000000000 -145 -82 -156 -92 0
100000000000000000 -145 -82 -157 -93 0
100000000000000000 -145 -82 -158 -94 0
100000000000000000 -145 -82 -159 -95 0
100000000000000000 -145 -82 -160 -96 0
100000000000000000 -161 -4 -162 -2 0
100000000000000000 -161 -4 -163 -6 0
100000000000000000 -161 -4 -164 -8 0
100000000000000000 -161 -4 -165 -10 0
100000000000000000 -161 -4 -166 -12 0
100000000000000000 -161 -4 -167 -14 0
100000000000000000 -161 -4 -168 -16 0
100000000000000000 -161 -4 -169 -18 0
100000000000000000 -161 -4 -170 -20 0
100000000000000000 -161 -4 -171 -22 0
100000000000000000 -161 -4 -172 -24 0
100000000000000000 -161 -4 -173 -26 0
100000000000000000 -161 -4 -174 -28 0
100000000000000000 -161 -4 -175 -30 0
100000000000000000 -161 -4 -176 -32 0
100000000000000000 -161 -34 -162 -33 0
100000000000000000 -161 -34 -163 -35 0
100000000000000000 -161 -34 -164 -36 0
100000000000000000 -161 -34 -165 -37 0
100000000000000000 -161 -34 -166 -38 0
100000000000000000 -161 -34 -167 -39 0
100000000000000000 -161 -34 -168 -40 0
100000000000000000 -161 -34 -169 -41 0
100000000000000000 -161 -34 -170 -42 0
100000000000000000 -161 -34 -171 -43 0
100000000000000000 -161 -34 -172 -44 0
100000000000000000 -161 -34 -173 -45 0
100000000000000000 -161 -34 -174 -46 0
100000000000000000 -161 -34 -175 -47 0
100000000000000000 -161 -34 -176 -48 0
100000000000000000 -161 -50 -162 -49 0
100000000000000000 -161 -50 -163 -51 0
100000000000000000 -161 -50 -164 -52 0
100000000000000000 -161 -50 -165 -53 0
100000000000000000 -161 -50 -166 -54 0
100000000000000000 -161 -50 -167 -55 0
100000000000000000 -161 -50 -168 -56 0
100000000000000000 -161 -50 -169 -57 0
100000000000000000 -161 -50 -170 -58 0
100000000000000000 -161 -50 -171 -59 0
100000000000000000 -161 -50 -172 -60 0
100000000000000000 -161 -50 -173 -61 0
100000000000000000 -161 -50 -174 -62 0
100000000000000000 -161 -50 -175 -63 0
100000000000000000 -161 -50 -176 -64 0
100000000000000000 -161 -66 -162 -65 0
100000000000000000 -161 -66 -163 -67 0
100000000000000000 -161 -66 -164 -68 0
100000000000000000 -161 -66 -165 -69 0
100000000000000000 -161 -66 -166 -70 0
100000000000000000 -161 -66 -167 -71 0
100000000000000000 -161 -66 -168 -72 0
100000000000000000 -161 -66 -169 -73 0
100000000000000000 -161 -66 -170 -74 0
100000000000000000 -161 -66 -171 -75 0
100000000000000000 -161 -66 -172 -76 0
100000000000000000 -161 -66 -173 -77 0
100000000000000000 -161 -66 -174 -78 0
100000000000000000 -161 -66 -175 -79 0
100000000000000000 -161 -66 -176 -80 0
100000000000000000 -161 -82 -162 -81 0
100000000000000000 -161 -82 -163 -83 0
100000000000000000 -161 -82 -164 -84 0
100000000000000000 -161 -82 -165 -85 0
100000000000000000 -161 -82 -166 -86 0
100000000000000000 -161 -82 -167 -87 0
100000000000000000 -161 -82 -168 -88 0
100000000000000000 -161 -82 -169 -89 0
100000000000000000 -161 -82 -170 -90 0
100000000000000000 -161 -82 -171 -91 0
100000000000000000 -161 -82 -172 -92 0
100000000000000000 -161 -82 -173 -93 0
100000000000000000 -161 -82 -174 -94 0
100000000000000000 -161 -82 -175 -95 0
100000000000000000 -161 -82 -176 -96 0
100000000000000000 -177 -6 -178 -2 0
100000000000000000 -177 -6 -179 -4 0
100000000000000000 -177 -6 -180 -8 0
100000000000000000 -177 -6 -181 -10 0
100000000000000000 -177 -6 -182 -12 0
100000000000000000 -177 -6 -183 -14 0
100000000000000000 -177 -6 -184 -16 0
100000000000000000 -177 -6 -185 -18 0
100000000000000000 -177 -6 -186 -20 0
100000000000000000 -177 -6 -187 -22 0
100000000000000000 -177 -6 -188 -24 0
100000000000000000 -177 -6 -189 -26 0
100000000000000000 -177 -6 -190 -28 0
100000000000000000 -177 -6 -191 -30 0
100000000000000000 -177 -6 -192 -32 0
100000000000000000 -177 -35 -178 -33 0
100000000000000000 -177 -35 -179 -34 0
100000000000000000 -177 -35 -180 -36 0
100000000000000000 -177 -35 -181 -37 0
100000000000000000 -177 -35 -182 -38 0
100000000000000000 -177 -35 -183 -39 0
100000000000000000 -177 -35 -184 -40 0
100000000000000000 -177 -35 -185 -41 0
100000000000000000 -177 -35 -186 -42 0
100000000000000000 -177 -35 -187 -43 0
100000000000000000 -177 -35 -188 -44 0
100000000000000000 -177 -35 -189 -45 0
100000000000000000 -177 -35 -190 -46 0
100000000000000000 -177 -35 -191 -47 0
100000000000000000 -177 -35 -192 -48 0
100000000000000000 -177 -51 -178 -49 0
100000000000000000 -177 -51 -179 -50 0
100000000000000000 -177 -51 -180 -52 0
100000000000000000 -177 -51 -181 -53 0
100000000000000000 -177 -51 -182 -54 0
100000000000000000 -177 -51 -183 -55 0
100000000000000000 -177 -51 -184 -56 0
100000000000000000 -177 -51 -185 -57 0
100000000000000000 -177 -51 -186 -58 0
100000000000000000 -177 -51 -187 -59 0
100000000000000000 -177 -51 -188 -60 0
100000000000000000 -177 -51 -189 -61 0
100000000000000000 -177 -51 -190 -62 0
100000000000000000 -177 -51 -191 -63 0
100000000000000000 -177 -51 -192 -64 0
100000000000000000 -177 -67 -178 -65 0
100000000000000000 -177 -67 -179 -66 0
100000000000000000 -177 -67 -180 -68 0
100000000000000000 -177 -67 -181 -69 0
100000000000000000 -177 -67 -182 -70 0
100000000000000000 -177 -67 -183 -71 0
100000000000000000 -177 -67 -184 -72 0
100000000000000000 -177 -67 -185 -73 0
100000000000000000 -177 -67 -186 -74 0
100000000000000000 -177 -67 -187 -75 0
100000000000000000 -177 -67 -188 -76 0
100000000000000000 -177 -67 -189 -77 0
100000000000000000 -177 -67 -190 -78 0
100000000000000000 -177 -67 -191 -79 0
100000000000000000 -177 -67 -192 -80 0
100000000000000000 -177 -83 -178 -81 0
100000000000000000 -177 -83 -179 -82 0
100000000000000000 -177 -83 -180 -84 0
100000000000000000 -177 -83 -181 -85 0
100000000000000000 -177 -83 -182 -86 0
100000000000000000 -177 -83 -183 -87 0
100000000000000000 -177 -83 -184 -88 0
100000000000000000 -177 -83 -185 -89 0
100000000000000000 -177 -83 -186 -90 0
100000000000000000 -177 -83 -187 -91 0
100000000000000000 -177 -83 -188 -92 0
100000000000000000 -177 -83 -189 -93 0
100000000000000000 -177 -83 -190 -94 0
100000000000000000 -177 -83 -191 -95 0
100000000000000000 -177 -83 -192 -96 0
100000000000000000 -193 -6 -194 -2 0
100000000000000000 -193 -6 -195 -4 0
100000000000000000 -193 -6 -196 -8 0
100000000000000000 -193 -6 -197 -10 0
100000000000000000 -193 -6 -198 -12 0
100000000000000000 -193 -6 -199 -14 0
100000000000000000 -193 -6 -200 -16 0
100000000000000000 -193 -6 -201 -18 0
100000000000000000 -193 -6 -202 -20 0
100000000000000000 -193 -6 -203 -22 0
100000000000000000 -193 -6 -204 -24 0
100000000000000000 -193 -6 -205 -26 0
100000000000000000 -193 -6 -206 -28 0
100000000000000000 -193 -6 -207 -30 0
100000000000000000 -193 -6 -208 -32 0
100000000000000000 -193 -35 -194 -33 0
100000000000000000 -193 -35 -195 -34 0
100000000000000000 -193 -35 -196 -36 0
100000000000000000 -193 -35 -197 -37 0
100000000000000000 -193 -35 -198 -38 0
100000000000000000 -193 -35 -199 -39 0
100000000000000000 -193 -35 -200 -40 0
100000000000000000 -193 -35 -201 -41 0
100000000000000000 -193 -35 -202 -42 0
100000000000000000 -193 -35 -203 -43 0
100000000000000000 -193 -35 -204 -44 0
100000000000000000 -193 -35 -205 -45 0
100000000000000000 -193 -35 -206 -46 0
100000000000000000 -193 -35 -207 -47 0
100000000000000000 -193 -35 -208 -48 0
100000000000000000 -193 -51 -194 -49 0
100000000000000000 -193 -51 -195 -50 0
100000000000000000 -193 -51 -196 -52 0
100000000000000000 -193 -51 -197 -53 0
100000000000000000 -193 -51 -198 -54 0
100000000000000000 -193 -51 -199 -55 0
100000000000000000 -193 -51 -200 -56 0
100000000000000000 -193 -51 -201 -57 0
100000000000000000 -193 -51 -202 -58 0
100000000000000000 -193 -51 -203 -59 0
100000000000000000 -193 -51 -204 -60 0
100000000000000000 -193 -51 -205 -61 0
100000000000000000 -193 -51 -206 -62 0
100000000000000000 -193 -51 -207 -63 0
100000000000000000 -193 -51 -208 -64 0
100000000000000000 -193 -67 -194 -65 0
100000000000000000 -193 -67 -195 -66 0
100000000000000000 -193 -67 -196 -68 0
100000000000000000 -193 -67 -197 -69 0
100000000000000000 -193 -67 -198 -70 0
100000000000000000 -193 -67 -199 -71 0
100000000000000000 -193 -67 -200 -72 0
100000000000000000 -193 -67 -201 -73 0
100000000000000000 -193 -67 -202 -74 0
100000000000000000 -193 -67 -203 -75 0
100000000000000000 -193 -67 -204 -76 0
100000000000000000 -193 -67 -205 -77 0
100000000000000000 -193 -67 -206 -78 0
100000000000000000 -193 -67 -207 -79 0
100000000000000000 -193 -67 -208 -80 0
100000000000000000 -193 -83 -194 -81 0
100000000000000000 -193 -83 -195 -82 0
100000000000000000 -193 -83 -196 -84 0
100000000000000000 -193 -83 -197 -85 0
100000000000000000 -193 -83 -198 -86 0
100000000000000000 -193 -83 -199 -87 0
100000000000000000 -193 -83 -200 -88 0
100000000000000000 -193 -83 -201 -89 0
100000000000000000 -193 -83 -202 -90 0
100000000000000000 -193 -83 -203 -91 0
100000000000000000 -193 -83 -204 -92 0
100000000000000000 -193 -83 -205 -93 0
100000000000000000 -193 -83 -206 -94 0
100000000000000000 -193 -83 -207 -95 0
100000000000000000 -193 -83 -208 -96 0
100000000000000000 -209 -6 -210 -2 0
100000000000000000 -209 -6 -211 -4 0
100000000000000000 -209 -6 -212 -8 0
100000000000000000 -209 -6 -213 -10 0
100000000000000000 -209 -6 -214 -12 0
100000000000000000 -209 -6 -215 -14 0
100000000000000000 -209 -6 -216 -16 0
100000000000000000 -209 -6 -217 -18 0
100000000000000000 -209 -6 -218 -20 0
100000000000000000 -209 -6 -219 -22 0
100000000000000000 -209 -6 -220 -24 0
100000000000000000 -209 -6 -221 -26 0
100000000000000000 -209 -6 -222 -28 0
100000000000000000 -209 -6 -223 -30 0
100000000000000000 -209 -6 -224 -32 0
100000000000000000 -209 -35 -210 -33 0
100000000000000000 -209 -35 -211 -34 0
100000000000000000 -209 -35 -212 -36 0
100000000000000000 -209 -35 -213 -37 0
100000000000000000 -209 -35 -214 -38 0
100000000000000000 -209 -35 -215 -39 0
100000000000000000 -209 -35 -216 -40 0
100000000000000000 -209 -35 -217 -41 0
100000000000000000 -209 -35 -218 -42 0
100000000000000000 -209 -35 -219 -43 0
100000000000000000 -209 -35 -220 -44 0
100000000000000000 -209 -35 -221 -45 0
100000000000000000 -209 -35 -222 -46 0
100000000000000000 -209 -35 -223 -47 0
100000000000000000 -209 -35 -224 -48 0
100000000000000000 -209 -51 -210 -49 0
100000000000000000 -209 -51 -211 -50 0
100000000000000000 -209 -51 -212 -52 0
100000000000000000 -209 -51 -213 -53 0
100000000000000000 -209 -51 -214 -54 0
100000000000000000 -209 -51 -215 -55 0
100000000000000000 -209 -51 -216 -56 0
100000000000000000 -209 -51 -217 -57 0
100000000000000000 -209 -51 -218 -58 0
100000000000000000 -209 -51 -219 -59 0
100000000000000000 -209 -51 -220 -60 0
100000000000000000 -209 -51 -221 -61 0
100000000000000000 -209 -51 -222 -62 0
100000000000000000 -209 -51 -223 -63 0
100000000000000000 -209 -51 -224 -64 0
100000000000000000 -209 -67 -210 -65 0
100000000000000000 -209 -67 -211 -66 0
100000000000000000 -209 -67 -212 -68 0
100000000000000000 -209 -67 -213 -69 0
100000000000000000 -209 -67 -214 -70 0
100000000000000000 -209 -67 -215 -71 0
100000000000000000 -209 -67 -216 -72 0
100000000000000000 -209 -67 -217 -73 0
100000000000000000 -209 -67 -218 -74 0
100000000000000000 -209 -67 -219 -75 0
100000000000000000 -209 -67 -220 -76 0
100000000000000000 -209 -67 -221 -77 0
100000000000000000 -209 -67 -222 -78 0
100000000000000000 -209 -67 -223 -79 0
100000000000000000 -209 -67 -224 -80 0
100000000000000000 -209 -83 -210 -81 0
100000000000000000 -209 -83 -211 -82 0
100000000000000000 -209 -83 -212 -84 0
100000000000000000 -209 -83 -213 -85 0
